width,height,count
186,535,2
180,523,3
228,523,1
240,547,1
234,535,2
330,343,24
216,571,1
210,559,2
192,523,3
150,541,2
144,529,7
252,613,1
192,541,3
198,529,7
204,517,8
204,541,3
216,565,1
192,517,9
354,367,10
222,535,3
168,595,1
162,583,1
186,631,2
132,523,6
150,559,3
144,547,5
138,535,4
222,541,4
216,529,2
210,517,3
150,523,11
168,577,1
174,589,1
156,553,1
138,517,10
228,601,1
192,529,4
30,373,2
84,481,1
6,325,12
78,469,5
198,535,7
144,541,2
156,517,3
150,529,7
180,577,1
156,529,9
150,517,12
174,553,2
180,541,3
198,553,3
360,373,17
156,541,4
144,517,10
228,577,1
204,529,3
222,565,2
198,517,5
168,523,3
306,319,36
240,541,1
204,613,1
228,565,1
234,553,1
216,589,1
222,577,1
336,349,39
312,325,68
12,313,1
96,481,4
42,373,13
36,361,10
108,505,2
78,445,9
102,493,10
72,433,13
6,301,21
66,421,18
18,325,1
24,337,5
84,457,14
90,469,14
30,349,7
204,577,2
228,529,1
324,337,40
162,505,5
186,457,9
174,481,6
168,493,11
180,469,7
168,559,3
174,547,3
180,535,5
186,523,6
294,307,50
36,343,19
84,439,30
90,427,48
42,331,52
36,337,27
102,469,22
6,277,37
84,433,19
54,373,40
144,535,5
138,547,3
318,331,44
90,259,1
72,295,36
66,307,42
102,379,7
108,367,4
24,349,9
30,337,10
60,277,55
42,313,100
78,511,1
66,487,2
6,367,2
60,283,112
54,271,113
48,259,222
120,403,2
66,475,1
72,463,3
30,355,9
78,451,7
96,415,31
198,211,49
60,295,133
54,307,105
108,391,1
102,403,27
48,319,116
108,433,43
48,265,165
36,289,155
114,397,4
120,409,1
102,421,32
54,409,6
60,397,28
108,301,3
102,313,12
84,349,11
78,361,55
66,457,3
126,433,11
120,445,28
192,205,39
54,289,181
48,301,117
102,385,8
96,397,36
84,511,1
42,259,256
222,235,41
126,427,22
42,421,1
114,277,3
90,325,7
66,373,72
6,361,2
96,421,48
54,265,181
36,301,81
114,385,2
108,445,57
48,445,1
54,433,2
60,421,11
126,289,6
114,313,3
120,301,1
84,373,22
90,361,16
48,409,8
60,385,37
96,313,2
120,265,4
84,337,8
108,289,1
72,361,39
54,397,26
60,409,12
48,385,24
102,301,9
96,289,4
108,313,2
18,331,1
78,499,1
6,355,4
90,475,10
48,271,206
54,259,92
36,295,90
108,439,42
162,493,8
168,505,7
42,253,329
138,445,11
36,397,2
48,421,1
60,445,3
114,289,6
102,265,1
54,445,1
48,433,2
126,301,4
108,265,4
36,427,2
138,247,1
84,331,10
90,343,6
6,379,2
30,331,26
90,451,21
96,439,26
60,271,97
54,283,104
114,403,3
36,319,48
126,277,2
138,253,1
90,349,13
78,373,51
48,403,3
54,415,5
96,307,5
120,259,1
102,319,3
72,355,71
78,367,35
66,265,38
90,313,3
114,361,4
66,271,40
72,283,21
90,319,8
114,367,2
120,379,2
96,331,1
72,277,14
84,301,2
108,349,4
36,403,2
96,283,10
108,259,1
114,319,4
126,295,1
72,331,50
90,367,19
72,481,1
78,493,2
102,445,39
60,265,54
120,385,1
126,397,1
36,313,57
96,433,52
48,415,1
54,403,12
60,391,38
96,319,2
120,271,2
114,283,1
108,295,5
102,307,6
90,331,7
84,343,17
78,355,29
72,367,64
66,379,59
24,331,4
78,487,3
90,463,14
102,439,48
60,259,87
210,223,45
48,283,209
36,307,72
114,415,29
42,397,3
102,277,3
78,325,40
66,349,92
168,499,3
162,487,12
174,511,12
138,439,9
12,187,60
6,175,526
36,235,401
42,247,272
132,427,1
48,397,6
54,385,29
96,301,1
114,265,3
102,289,3
84,325,11
66,361,81
120,295,4
108,271,2
102,283,7
78,331,17
90,355,6
42,409,1
108,277,1
78,337,42
72,349,56
54,451,1
90,283,8
78,307,13
72,319,48
96,367,19
102,355,3
180,193,31
66,301,102
72,313,31
96,361,10
186,199,44
84,283,7
114,343,6
84,271,6
120,343,2
90,289,2
78,265,8
126,361,2
78,295,7
90,271,5
66,319,38
120,331,1
96,379,9
180,511,6
48,247,281
36,223,467
132,415,1
144,439,5
42,385,5
96,277,4
72,325,44
66,337,98
114,325,2
84,265,1
90,277,14
120,337,2
126,349,2
84,289,9
78,277,14
102,325,3
108,337,1
126,373,1
156,475,5
144,451,9
24,211,342
30,223,497
18,199,513
198,367,1
150,463,22
60,433,8
54,421,6
36,385,7
96,265,4
114,301,6
120,313,7
174,505,2
162,481,13
42,241,371
6,169,346
138,433,1
90,295,5
72,259,6
78,271,8
108,331,4
120,355,3
60,415,8
48,391,16
126,283,2
96,295,9
174,187,35
114,259,3
108,319,4
66,355,56
78,379,49
60,439,4
36,391,1
102,259,3
96,271,4
120,319,3
66,331,56
126,307,1
90,379,13
84,259,15
126,343,1
108,283,4
102,271,4
96,259,3
114,295,1
126,319,2
120,307,1
168,481,4
174,493,6
12,169,600
42,229,390
138,421,2
120,277,1
168,181,23
90,337,7
72,373,51
78,283,13
66,259,23
90,307,5
102,331,4
114,355,1
126,379,2
60,403,21
54,391,18
108,307,3
120,283,1
114,271,5
162,175,34
102,295,2
66,367,62
72,379,59
192,469,10
84,253,21
132,349,1
144,373,5
156,169,26
66,277,63
84,313,9
102,349,2
96,337,3
114,373,2
84,247,15
90,235,6
138,331,6
132,343,4
66,235,12
156,343,2
138,379,1
138,151,36
186,511,7
162,463,11
168,475,4
48,235,274
42,223,201
18,175,1487
24,187,806
138,415,2
144,427,1
180,505,9
162,469,6
48,241,127
54,253,189
6,157,543
36,217,356
18,181,514
132,409,1
84,295,6
150,163,39
108,343,4
180,493,5
60,253,40
48,229,117
12,157,1147
24,181,1334
36,205,350
144,421,2
168,469,15
186,505,5
42,217,430
18,169,731
138,409,3
162,457,2
30,385,2
72,301,31
84,277,4
90,265,6
144,157,25
78,289,9
66,313,83
186,499,16
162,451,4
174,475,14
54,235,66
6,139,1715
42,211,164
30,187,713
18,163,2112
150,427,2
180,487,4
60,247,58
36,199,575
12,151,503
132,391,4
156,439,2
72,235,5
84,211,1
120,139,1
150,343,1
150,475,16
132,511,11
198,379,1
156,463,8
24,199,539
66,115,1
48,151,25
42,163,149
18,211,279
180,415,2
174,427,3
132,505,15
156,457,13
24,193,993
30,205,614
48,145,80
78,109,1
54,157,21
252,265,61
180,409,4
6,253,48
186,445,1
84,97,25
42,157,21
48,169,23
168,409,1
42,109,1
84,145,1
72,169,4
150,277,1
138,301,1
168,361,4
162,391,1
174,415,3
36,139,35
42,151,35
48,163,16
54,175,5
60,187,17
180,427,6
186,439,7
168,403,2
138,511,11
48,139,32
36,163,419
186,415,5
174,439,4
144,493,21
150,481,15
180,421,5
36,133,57
60,181,50
6,193,187
30,241,233
24,253,136
42,133,12
66,85,4
60,169,6
174,397,4
168,385,2
186,421,4
216,505,7
210,493,4
192,457,2
90,253,4
72,217,29
66,205,22
24,121,650
18,109,3498
138,349,1
144,361,2
234,511,1
192,427,4
96,235,2
42,127,71
66,175,3
72,187,5
138,319,6
162,367,4
84,157,1
48,85,2
42,97,1
78,169,1
138,289,1
234,505,1
42,121,27
66,169,5
138,313,1
42,145,14
72,85,24
84,109,1
54,169,33
174,409,2
162,385,4
186,433,4
156,499,10
150,487,15
72,91,1
66,79,30
30,247,278
6,199,238
12,211,23
132,451,15
198,469,9
84,241,3
6,85,12512
132,337,2
150,373,3
204,469,3
84,229,2
12,85,560
156,373,2
132,325,1
222,511,1
216,499,3
210,487,10
204,475,3
192,451,3
198,463,7
150,367,1
90,247,4
78,223,1
84,235,4
72,211,18
66,199,40
30,127,206
24,115,943
18,103,413
12,91,10276
6,79,57768
144,355,5
138,343,6
132,331,1
156,379,1
270,601,1
252,445,1
222,505,1
198,457,5
210,481,3
90,241,5
78,217,2
30,121,51
18,97,2699
6,73,16022
96,133,1
66,193,13
138,337,3
150,361,2
234,463,2
216,427,2
90,175,1
42,79,4
24,43,1
138,271,1
264,541,1
240,493,3
192,397,1
246,481,1
126,241,1
120,253,1
96,205,1
72,157,1
48,109,2
24,61,6
30,49,2
168,349,2
144,301,1
216,445,3
228,487,1
204,439,1
36,103,35
12,55,111
54,67,26
132,295,2
216,415,2
222,427,2
42,67,2
30,43,58
234,475,4
210,427,2
114,235,1
42,91,3
18,43,7
66,139,3
138,283,1
162,331,2
186,379,2
102,235,4
78,187,1
42,115,4
6,43,25717
66,163,2
138,307,2
162,355,5
174,379,2
198,427,5
234,487,2
108,235,1
78,175,4
42,103,4
12,43,319
72,163,3
138,295,2
174,367,2
204,427,5
246,475,6
114,211,2
36,127,24
54,91,1
60,79,2
18,19,2406
132,319,4
192,439,5
210,403,1
258,529,1
216,421,2
246,505,1
252,493,1
198,409,1
102,217,1
114,241,1
108,205,1
18,49,3
24,37,22
12,13,46
6,25,119619
54,121,1
66,145,3
72,133,1
168,325,1
150,313,1
156,301,1
204,397,1
228,499,1
240,475,1
210,415,1
114,223,1
102,247,3
36,115,28
6,55,209715
18,31,21
132,307,2
198,439,7
264,529,1
246,493,2
234,469,1
210,421,1
252,505,1
240,481,2
204,409,1
192,385,2
114,229,1
108,217,1
90,181,1
48,97,5
36,73,6
18,37,3
6,13,1163
12,25,74
24,49,1
60,121,1
78,157,1
120,241,1
144,289,3
138,277,2
216,433,5
246,487,2
222,439,2
198,391,1
132,259,1
102,199,1
54,103,4
30,55,1
6,7,2
78,151,2
126,247,1
174,343,3
150,295,1
204,403,3
246,499,2
240,511,2
102,211,2
54,115,3
6,19,3688
48,127,3
144,319,1
150,307,2
198,403,2
204,391,1
192,415,2
240,457,1
204,433,3
198,421,1
228,481,3
108,241,4
120,217,1
102,229,3
90,157,1
36,97,1
12,49,619
6,37,53133
24,25,32
78,181,2
132,289,1
210,397,1
216,409,1
264,535,1
240,487,1
180,367,1
216,439,2
108,223,2
60,127,1
36,79,1
12,31,5
144,295,2
168,343,1
246,511,3
240,499,2
198,415,1
228,475,2
210,439,4
192,403,1
96,211,3
102,223,1
84,187,1
48,115,2
36,91,2
18,55,10
6,31,1386701
54,127,3
66,151,1
144,307,2
114,247,1
150,319,2
162,343,2
222,415,1
246,463,3
48,67,1
30,31,8
192,445,3
204,421,5
108,229,2
102,241,2
6,49,82945
12,37,12
1,1,2498
228,433,1
216,457,7
204,481,2
192,505,3
90,205,2
66,253,19
78,229,24
12,97,11442
36,49,26
24,73,160
240,505,2
210,445,1
204,385,1
192,409,2
222,421,1
96,217,3
108,193,1
18,61,24
48,121,5
66,157,5
114,253,1
144,313,1
162,349,1
264,565,1
228,493,5
204,445,5
72,181,6
54,73,4
36,109,101
12,61,365
108,253,2
168,373,2
132,301,1
192,421,2
222,475,4
204,511,9
210,451,6
192,487,6
72,247,5
90,211,8
18,67,159
30,91,63
12,127,1561
132,367,3
150,331,1
198,511,11
192,499,5
222,463,4
66,247,10
90,199,2
24,67,53
30,79,7
6,127,3060
132,379,4
210,511,6
222,487,2
204,451,3
192,475,9
66,223,5
30,103,11
12,67,64
18,127,5837
156,355,5
144,379,1
192,511,4
216,463,2
198,499,8
228,439,1
210,475,5
222,451,1
204,487,3
12,103,4060
18,91,597
36,55,1
24,79,13
30,67,4
42,43,2
6,115,6158
222,493,2
216,481,7
204,457,11
90,229,5
30,109,43
24,97,194
12,73,448
72,193,4
78,205,6
138,325,1
156,361,2
228,427,1
42,55,43
228,421,1
192,493,16
198,481,8
210,457,6
72,253,12
78,241,15
90,217,3
6,97,6301
18,73,225
36,37,2
228,505,2
258,565,1
198,445,4
102,253,4
96,241,5
66,181,4
36,121,8
60,73,20
6,61,71336
132,313,2
162,373,3
192,433,10
210,463,7
204,499,5
216,475,5
198,487,6
78,247,3
6,103,12872
18,79,536
24,91,151
12,115,3486
144,331,1
132,355,3
276,589,1
216,469,7
84,205,2
24,85,17
174,313,1
144,325,1
192,463,6
216,511,3
198,451,4
222,499,5
72,223,24
30,115,122
6,67,104904
24,127,1840
78,211,6
150,355,2
234,445,1
222,469,2
84,193,5
42,61,1
30,85,31
156,337,1
222,457,1
198,505,4
204,493,9
228,445,2
66,241,6
96,181,2
90,193,3
12,109,10835
30,73,1
6,121,1633
120,133,24
216,493,6
222,481,3
210,505,4
108,133,1
72,205,5
78,193,4
66,217,3
24,109,265
48,61,13
30,97,20
18,121,3479
210,469,4
84,217,1
18,85,76
144,337,1
228,469,1
234,457,3
84,181,1
36,85,17
132,277,2
138,265,1
180,373,2
210,499,3
216,487,1
198,475,14
204,463,5
66,211,5
72,199,3
18,115,5925
6,91,22491
24,103,3419
12,79,2141
156,367,2
150,379,3
156,385,2
6,181,268
36,241,320
48,217,87
18,157,1164
30,133,766
96,121,1
60,193,3
144,409,2
132,433,15
156,511,7
12,223,15
132,463,23
144,487,20
90,115,1
78,91,30
24,247,88
144,511,9
156,487,11
150,499,15
42,139,7
36,151,243
12,199,45
6,211,170
180,439,4
186,427,4
138,475,36
84,103,3
48,175,11
54,163,53
18,235,115
168,415,2
174,403,3
12,229,21
24,205,729
30,193,765
60,133,7
78,97,2
48,157,5
42,169,161
36,181,254
18,217,94
6,241,63
12,181,337
36,229,382
48,205,62
30,145,792
96,109,24
24,157,1532
54,193,10
150,385,3
138,487,29
12,235,6
162,439,2
36,187,647
60,139,4
186,391,2
198,493,6
192,481,6
204,505,8
66,229,11
78,253,4
72,241,7
6,109,2252
12,121,5309
138,373,1
132,361,2
150,511,8
144,499,16
132,475,23
18,247,69
90,103,27
6,223,173
12,247,5
162,427,1
132,487,28
144,463,14
180,391,2
30,211,654
42,187,102
60,151,2
78,115,1
24,223,250
246,259,66
150,451,10
168,487,5
162,499,9
186,451,6
12,175,123
30,139,200
6,187,370
150,457,5
12,253,13
132,493,24
18,193,279
30,217,454
60,157,3
48,133,4
180,397,7
132,499,24
180,403,1
144,475,23
30,199,652
78,103,2
54,151,4
42,175,82
6,247,72
18,223,172
192,379,1
168,427,3
162,415,5
60,163,4
48,187,62
24,235,151
174,391,2
138,463,30
144,505,14
156,481,19
30,229,332
90,109,1
36,145,88
54,181,10
12,193,174
180,433,7
18,253,22
150,409,1
132,445,31
54,217,66
60,205,12
24,133,723
102,121,1
18,145,1892
36,253,310
156,397,4
138,499,12
54,139,3
36,175,485
6,235,109
186,403,5
168,439,2
132,481,36
144,457,34
24,217,514
54,133,3
60,145,11
18,205,198
240,265,1
6,229,85
180,385,4
12,241,8
150,505,11
156,493,11
180,445,9
24,229,321
36,157,167
48,181,50
6,217,122
18,241,41
12,205,68
162,511,3
174,487,20
186,463,10
24,139,1799
12,163,252
180,457,3
186,469,6
144,385,1
60,217,16
48,193,51
18,133,2934
30,157,1019
108,121,31
24,145,1532
54,205,43
150,397,2
156,409,1
132,439,8
42,235,241
48,223,237
54,211,37
102,115,29
96,127,1
60,199,11
36,247,302
156,391,4
144,415,2
150,403,3
138,427,1
180,475,8
54,223,51
48,211,180
96,115,1
18,151,3281
144,403,3
150,415,3
60,211,7
30,151,303
54,199,35
150,391,3
156,403,3
180,451,6
168,463,3
162,475,13
18,187,862
24,175,1171
30,163,383
174,451,6
174,499,7
168,511,1
186,475,7
6,163,815
18,139,3810
180,463,5
60,223,15
48,199,122
108,127,4
24,151,1803
144,391,2
156,415,2
258,571,1
66,187,7
72,175,3
78,163,2
84,151,3
168,367,3
168,391,2
30,235,400
60,175,32
54,187,18
162,403,5
138,451,25
174,445,3
162,421,4
36,169,200
42,181,188
168,433,7
144,445,14
48,253,146
54,241,150
60,229,18
6,145,672
12,133,3790
156,421,3
150,433,3
174,457,1
186,481,5
42,193,302
30,169,1131
180,481,7
60,241,34
36,193,324
54,229,127
30,181,949
12,145,1845
6,133,994
132,385,1
150,421,3
156,433,3
174,469,8
78,235,25
84,223,4
126,139,30
138,355,2
168,451,1
156,427,1
186,487,11
174,463,7
60,235,38
42,199,164
30,175,563
24,163,1347
12,139,931
138,391,5
180,499,11
150,439,1
54,247,85
36,211,571
6,151,1076
114,127,25
132,403,3
90,301,2
72,265,13
132,145,28
120,361,2
66,283,39
72,271,19
78,259,7
132,151,1
114,379,3
126,355,3
120,367,7
186,493,5
168,457,4
42,205,341
24,169,1690
138,397,3
18,385,1
66,289,72
78,313,21
102,361,3
60,457,1
78,301,16
72,289,18
108,361,3
66,463,2
72,475,2
126,439,29
36,259,223
54,295,105
60,307,136
108,403,5
102,391,8
84,307,10
102,343,1
60,475,1
54,463,1
66,295,36
78,319,25
72,307,56
96,355,4
102,367,2
12,325,2
6,337,11
42,265,250
36,277,185
150,493,12
144,481,22
156,505,14
138,469,22
12,217,39
18,229,55
6,205,139
30,253,177
24,241,228
132,457,42
6,373,6
18,349,1
54,277,183
42,301,130
30,325,16
102,337,6
108,325,7
96,349,7
84,499,2
6,343,14
42,271,221
120,427,10
120,433,40
42,277,175
204,217,35
48,289,154
36,265,243
60,313,69
54,301,161
96,385,8
114,421,16
108,409,24
102,397,3
126,445,22
18,337,3
24,325,8
48,277,177
42,289,148
78,457,8
30,361,3
90,481,4
216,229,54
60,301,77
54,313,143
108,397,6
102,409,17
114,433,28
120,421,21
30,379,2
90,499,2
18,355,2
78,475,3
66,451,5
6,331,15
48,295,209
36,271,160
60,319,109
96,391,18
108,415,21
120,439,29
78,349,45
72,337,38
66,325,99
84,361,25
90,373,19
90,493,2
24,361,1
72,457,3
114,445,47
60,289,64
126,421,3
48,313,112
108,385,4
96,409,35
84,487,2
42,283,169
114,427,45
234,247,62
102,499,5
96,511,1
114,475,18
6,307,23
108,487,21
120,463,32
30,259,205
126,451,45
24,271,37
18,283,18
84,475,5
18,343,2
42,295,129
108,427,26
84,319,16
96,343,8
48,469,1
114,337,4
120,325,1
96,373,6
114,349,8
102,373,7
126,325,1
30,367,2
24,355,1
90,487,3
72,451,9
78,463,4
54,319,100
48,307,134
36,283,108
96,403,28
114,439,49
102,415,40
138,361,5
144,349,6
150,337,2
132,373,2
156,325,1
66,445,2
96,505,3
12,289,4
108,481,12
120,457,42
228,241,83
24,265,89
90,397,34
78,421,26
102,505,3
72,421,17
66,433,5
108,493,9
6,313,11
30,265,121
90,385,21
126,457,30
36,373,7
42,361,29
60,325,84
54,337,79
48,349,45
114,505,8
18,313,4
120,493,20
126,481,23
66,409,28
24,301,24
240,253,83
78,385,49
30,289,60
72,397,38
42,415,1
78,343,27
84,355,24
102,511,1
96,499,4
36,379,5
66,439,3
6,319,18
126,463,49
120,451,25
30,271,135
60,331,113
24,259,57
90,391,39
258,271,65
108,511,3
36,367,6
96,487,8
72,439,13
126,475,24
18,259,29
30,283,94
54,331,71
90,403,56
114,451,41
126,469,30
54,325,107
60,337,71
30,277,79
84,385,52
42,391,4
60,427,6
66,343,61
84,379,32
66,427,6
42,379,17
60,343,93
84,391,45
78,481,3
84,469,4
90,457,15
96,445,35
126,385,1
120,397,1
114,409,3
108,421,62
102,433,40
24,343,4
84,463,6
42,307,131
102,427,50
114,469,26
48,337,80
54,349,73
84,409,52
18,277,8
120,469,55
48,325,93
60,349,70
84,397,55
24,277,64
126,493,23
120,481,23
24,289,38
90,421,43
108,457,37
60,361,67
42,325,76
12,265,5
30,301,27
72,385,45
78,397,45
54,427,3
42,403,9
72,343,71
84,367,42
162,577,1
138,529,7
264,277,89
30,343,9
84,451,16
96,427,51
42,319,92
72,427,15
42,367,26
54,343,91
84,403,37
120,511,8
126,499,14
30,307,30
96,463,12
48,367,35
24,319,9
72,415,36
102,451,30
54,355,72
78,403,46
6,259,59
150,469,13
138,493,21
186,397,1
198,373,1
162,445,4
174,421,6
12,283,1
126,511,9
120,499,15
18,295,4
114,487,29
102,463,24
90,439,33
60,379,60
48,355,64
96,451,32
72,403,30
108,475,16
30,319,33
66,391,46
54,367,51
24,307,15
6,271,40
42,343,48
78,415,37
36,331,40
84,427,30
132,469,32
174,385,1
138,457,16
162,409,4
168,397,6
12,259,2
18,319,8
114,511,7
96,475,18
48,379,24
126,487,20
108,451,46
66,415,21
30,295,68
60,355,79
78,391,43
42,355,37
78,427,36
48,343,83
84,415,45
270,283,55
102,475,11
18,307,9
114,499,15
6,283,29
120,487,20
66,403,21
54,379,37
24,295,15
60,367,67
72,391,48
108,463,38
12,277,5
84,421,31
108,469,27
36,325,41
60,373,50
144,469,25
186,385,1
138,481,24
168,421,5
162,433,3
192,373,2
108,499,5
18,271,20
36,355,16
102,487,6
120,475,30
6,295,27
78,439,16
90,415,50
24,283,27
48,331,100
114,463,41
18,289,5
114,481,19
126,505,12
78,409,34
42,337,45
6,265,46
66,385,53
30,313,28
90,433,42
54,361,57
102,457,28
282,295,67
138,541,3
144,553,5
276,289,70
156,469,14
186,409,2
138,505,16
174,433,6
168,445,4
120,505,14
114,493,12
96,457,33
72,409,30
18,301,5
66,397,35
24,313,20
90,445,21
42,349,31
48,361,42
150,577,1
180,517,12
288,301,67
144,577,1
300,313,86
36,349,21
96,469,15
84,445,21
48,373,17
96,493,6
72,445,12
102,481,17
78,433,18
6,289,26
90,409,36
114,457,24
18,265,18
